county_id,county_state_name,county_name,population,emissions_mtons_CO2e,emissions_per_person_mtons_CO2e
22009,"Avoyelles Parish, LA",Avoyelles Parish,41252,130592,3.165713177542907
47107,"McMinn County, TN",McMinn County,52606,166516,3.165342356385203
51063,"Floyd County, VA",Floyd County,15587,49335,3.165137614678899
31147,"Richardson County, NE",Richardson County,8149,25767,3.1619830654067984
1023,"Choctaw County, AL",Choctaw County,13287,42004,3.161285466997817
29041,"Chariton County, MO",Chariton County,7615,24071,3.1609980302035456
29157,"Perry County, MO",Perry County,19152,60532,3.160609857978279
22089,"St. Charles Parish, LA",St. Charles Parish,52708,166491,3.15874250588146
54101,"Webster County, WV",Webster County,8820,27852,3.1578231292517005
47005,"Benton County, TN",Benton County,16173,51070,3.157732022506647
21207,"Russell County, KY",Russell County,17684,55836,3.157430445600543
40039,"Custer County, OK",Custer County,29248,92333,3.156899617067834
46011,"Brookings County, SD",Brookings County,33435,105540,3.1565724540152535
38057,"Mercer County, ND",Mercer County,8671,27367,3.156152692884327
17011,"Bureau County, IL",Bureau County,33822,106678,3.1541008810833184
54067,"Nicholas County, WV",Nicholas County,25743,81196,3.154100143728392
19133,"Monona County, IA",Monona County,9013,28423,3.1535559747032065
29067,"Douglas County, MO",Douglas County,13467,42467,3.1534120442563305
28097,"Montgomery County, MS",Montgomery County,10353,32631,3.151840046363373
31101,"Keith County, NE",Keith County,8103,25537,3.1515488090830557
18031,"Decatur County, IN",Decatur County,26340,82998,3.151025056947608
18061,"Harrison County, IN",Harrison County,39370,123921,3.1475996951993905
51590,"Danville city, VA",Danville city,42360,133300,3.146836638338055
47111,"Macon County, TN",Macon County,22924,72075,3.1440848019542837
21051,"Clay County, KY",Clay County,21160,66517,3.1435255198487715
46125,"Turner County, SD",Turner County,8289,26055,3.1433224755700326
1067,"Henry County, AL",Henry County,17187,54009,3.142433234421365
47087,"Jackson County, TN",Jackson County,11526,36219,3.1423737636647577
21229,"Washington County, KY",Washington County,12017,37758,3.142048764250645
51195,"Wise County, VA",Wise County,40074,125904,3.1417876927683785
47065,"Hamilton County, TN",Hamilton County,351305,1103686,3.141674613227822
39087,"Lawrence County, OH",Lawrence County,61503,193145,3.1404159146708293
40065,"Jackson County, OK",Jackson County,25864,81185,3.1389189607175996
38065,"Oliver County, ND",Oliver County,1768,5547,3.137443438914027
5087,"Madison County, AR",Madison County,15761,49440,3.136856798426496
8079,"Mineral County, CO",Mineral County,793,2485,3.1336696090794454
28087,"Lowndes County, MS",Lowndes County,59785,187341,3.133578656853726
48223,"Hopkins County, TX",Hopkins County,35844,112287,3.1326581854703717
19145,"Page County, IA",Page County,15552,48660,3.128858024691358
18161,"Union County, IN",Union County,7251,22672,3.12674113915322
21213,"Simpson County, KY",Simpson County,17856,55822,3.1262320788530467
28107,"Panola County, MS",Panola County,34319,107254,3.1252076109443747
47133,"Overton County, TN",Overton County,22090,68996,3.123404255319149
21161,"Mason County, KY",Mason County,17229,53810,3.1232224737361425
18115,"Ohio County, IN",Ohio County,6003,18747,3.1229385307346327
28019,"Choctaw County, MS",Choctaw County,8320,25982,3.1228365384615384
40113,"Osage County, OK",Osage County,47923,149606,3.1217995534503267
48063,"Camp County, TX",Camp County,12631,39409,3.1200221676826856
20087,"Jefferson County, KS",Jefferson County,18880,58902,3.1198093220338983
40071,"Kay County, OK",Kay County,45398,141603,3.1191462178950613
40019,"Carter County, OK",Carter County,48530,151353,3.1187512878631773
47027,"Clay County, TN",Clay County,7769,24216,3.117003475350753
13273,"Terrell County, GA",Terrell County,9132,28457,3.1161848445028473
28005,"Amite County, MS",Amite County,12692,39530,3.114560352978254
17131,"Mercer County, IL",Mercer County,15971,49560,3.10312441299856
5047,"Franklin County, AR",Franklin County,17799,55228,3.1028709478060565
20021,"Cherokee County, KS",Cherokee County,20737,64289,3.100207358827217
13237,"Putnam County, GA",Putnam County,21259,65884,3.099110964767863
17005,"Bond County, IL",Bond County,17137,53071,3.0968664293633656
18159,"Tipton County, IN",Tipton County,15447,47830,3.096394121835955
39135,"Preble County, OH",Preble County,41561,128688,3.096364380067852
27089,"Marshall County, MN",Marshall County,9406,29119,3.0957899213268125
47149,"Rutherford County, TN",Rutherford County,290289,898600,3.09553582808856
13047,"Catoosa County, GA",Catoosa County,65645,203172,3.09501104425318
51171,"Shenandoah County, VA",Shenandoah County,42857,132623,3.0945469818232727
