latitude,longitude,Emissions
38.44355,-120.653856,"24,694"
39.665959,-121.601919,"134,430"
38.1839,-120.561441,"29,399"
39.177739,-122.237563,"11,879"
37.919479,-121.951543,"632,998"
41.749903,-123.980998,"29,567"
38.785532,-120.534398,"128,302"
36.761006,-119.655019,"565,018"
39.602546,-122.4017,"16,167"
40.706673,-123.925818,"66,243"
33.040814,-115.3554,"275,121"
36.561977,-117.403927,"13,465"
35.346629,-118.729506,"480,262"
36.072478,-119.81553,"81,836"
39.094802,-122.746757,"39,920"
40.721086,-120.629952,"17,605"
34.196398,-118.261862,"5,003,136"
37.209821,-119.749802,"85,316"
38.051817,-122.745974,"151,502"
37.570033,-119.91286,"11,497"
39.432388,-123.442881,"50,109"
37.194806,-120.722802,"152,393"
41.592918,-120.71837,"10,669"
37.915836,-118.875167,"8,143"
36.240107,-121.315572,"167,479"
38.5071,-122.325904,"77,154"
39.297508,-120.771343,"66,815"
33.675687,-117.777207,"1,625,575"
39.062032,-120.722718,"293,760"
39.992295,-120.824371,"14,056"
33.729828,-116.002239,"1,524,565"
38.450011,-121.340441,"1,062,826"
36.610702,-121.085296,"26,953"
34.85722,-116.181197,"1,087,964"
33.023604,-116.776117,"1,400,903"
37.727239,-123.032229,"318,860"
37.934982,-121.272244,"408,003"
35.385224,-120.447544,"127,058"
37.414663,-122.371545,"349,117"
34.537057,-120.039973,"167,954"
37.220777,-121.690622,"871,737"
37.012488,-122.007205,"134,449"
40.760514,-122.043556,"152,424"
39.576925,-120.521993,"1,917"
41.587986,-122.533287,"56,045"
38.267226,-121.939594,"225,776"
38.525182,-122.92611,"252,234"
37.562316,-121.002831,"370,100"
39.03619,-121.70394,"58,205"
40.126156,-122.232276,"40,293"
40.647724,-123.114404,"10,170"
36.228824,-118.781061,"264,173"
38.021434,-119.964733,"35,402"
34.358741,-119.133143,"422,092"
38.679595,-121.902441,"105,861"
39.266247,-121.340781,"45,567"
39.874325,-104.331872,"836,881"
37.568442,-105.788041,"34,413"
39.644554,-104.331706,"1,183,047"
37.202395,-107.050863,"27,464"
37.306693,-102.537758,"8,012"
37.931891,-103.077584,"8,555"
40.09497,-105.397691,"573,702"
39.953302,-105.052038,"123,336"
38.738224,-106.316685,"42,878"
38.835386,-102.604585,"4,545"
39.689403,-105.670783,"23,922"
37.213406,-106.176447,"16,567"
37.277547,-105.42894,"8,244"
38.30618,-103.772736,"7,124"
38.101994,-105.373515,"10,867"
38.861756,-107.864757,"66,565"
39.76185,-104.881105,"1,172,493"
37.747602,-108.530383,"3,517"
39.325414,-104.925987,"703,187"
39.626992,-106.695169,"95,415"
39.310582,-104.117729,"62,264"
38.827383,-104.527472,"1,297,179"
38.45517,-105.424958,"74,080"
39.599352,-107.90978,"102,416"
39.861156,-105.528878,"13,844"
40.123205,-106.095935,"32,460"
38.67264,-107.066506,"32,145"
37.821165,-107.338261,"2,314"
37.687815,-104.959928,"14,658"
40.663432,-106.329248,"3,594"
39.579511,-105.245462,"1,116,010"
38.387663,-102.756849,"2,958"
39.30534,-102.603023,"21,317"
39.205341,-106.350079,"16,646"
37.287367,-107.839718,"106,925"
40.658093,-105.486764,"611,325"
37.318831,-104.04411,"31,327"
38.99374,-103.507555,"9,584"
40.728091,-103.090464,"52,255"
39.019421,-108.461893,"293,221"
37.549067,-107.003236,"2,485"
40.616358,-108.211099,"29,372"
37.338025,-108.595786,"52,443"
38.407507,-108.266282,"93,045"
40.263167,-103.812285,"74,430"
37.88417,-103.72126,"39,713"
38.154731,-107.78848,"12,550"
39.118914,-105.717648,"44,370"
40.594712,-102.345105,"11,728"
39.217332,-106.915783,"38,620"
37.958181,-102.392161,"25,726"
38.170658,-104.489892,"298,461"
39.972622,-108.200716,"11,392"
37.485853,-106.453128,"26,395"
40.483664,-106.987702,"59,922"
38.031651,-106.234666,"14,405"
37.781074,-107.670257,"1,442"
38.009374,-108.427326,"19,500"
40.871568,-102.355358,"6,777"
39.621023,-106.137555,"51,059"
38.870023,-105.187339,"59,684"
39.96579,-103.209744,"14,020"
40.555961,-104.383666,"510,068"
40.000631,-102.422649,"22,271"
41.227413,-73.367061,"814,269"
41.806053,-72.732916,"703,512"
41.791883,-73.235404,"172,268"
41.433003,-72.52278,"148,057"
41.349717,-72.900204,"684,401"
41.472651,-72.108633,"227,193"
41.858081,-72.340978,"118,963"
41.824999,-71.990702,"97,515"
39.097088,-75.502982,"244,631"
39.575915,-75.644132,"763,096"
38.673227,-75.337024,"350,961"
38.904103,-77.017229,"922,316"
29.67574,-82.357221,"599,290"
30.324442,-82.302284,"69,041"
30.238117,-85.63143,"454,602"
29.952386,-82.166599,"65,526"
28.298304,-80.700331,"1,362,868"
26.193535,-80.476683,"4,408,545"
30.388801,-85.197915,"33,697"
26.868933,-81.941077,"433,052"
28.84364,-82.52481,"356,611"
29.986584,-81.865036,"467,752"
26.118786,-81.400955,"781,608"
30.221333,-82.623168,"170,392"
27.190581,-81.806253,"73,187"
29.580899,-83.195666,"38,728"
30.335245,-81.648113,"2,163,388"
30.611638,-87.3389,"793,189"
29.474912,-81.286305,"234,280"
29.810176,-84.799174,"29,562"
30.578687,-84.612607,"99,504"
29.723456,-82.795801,"38,199"
26.95481,-81.19082,"25,526"
29.907257,-85.256537,"36,535"
30.491226,-82.951069,"31,946"
27.492846,-81.82158,"49,917"
26.539967,-81.152114,"84,175"
28.573043,-82.466227,"459,568"
27.342627,-81.340921,"222,398"
27.906607,-82.349719,"3,207,079"
30.866222,-85.812959,"48,247"
27.700528,-80.574789,"380,970"
30.78925,-85.208813,"119,468"
30.424558,-83.890859,"39,289"
29.990066,-83.17851,"15,620"
28.764113,-81.712282,"744,942"
26.559035,-81.891994,"1,605,229"
30.45931,-84.2778,"619,598"
29.284457,-82.783462,"94,142"
30.259849,-84.86858,"16,982"
30.447233,-83.470416,"44,287"
27.481682,-82.368767,"798,959"
